comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes,group-c-votes,group-c-agrees,group-c-disagrees,group-c-passes
0,"AI in care homes should free up time for staff to spend with residents, not replace human
contact.",34,31,0,3,17,14,0,3,13,13,0,0,4,4,0,0
1,"People living with dementia deserve a say in whether AI tools are used in their care.",31,26,2,3,14,11,1,2,13,11,1,1,4,4,0,0
2,"Using AI to keep an elderly person company when no human is available is better than
leaving them alone.",32,21,6,5,15,12,0,3,11,5,4,2,6,4,2,0
3,"Families caring for someone with a serious illness should be offered AI tools to help, even if
those tools are not perfect.",38,18,14,6,14,2,7,5,17,16,0,1,7,0,7,0
4,"When AI helps make a decision about your benefits, housing, or health, you should be told.",30,27,1,2,14,13,0,1,11,9,1,1,5,5,0,0
5,"If an AI system treats people unfairly because of their race, age, or disability, someone
should be held responsible.",34,29,2,3,14,10,2,2,15,14,0,1,5,5,0,0
6,"People should always be able to reach a real person when dealing with a government
service, even if AI handles most tasks.",33,32,0,1,15,14,0,1,14,14,0,0,4,4,0,0
7,"The UK should create an independent body with real power to shut down harmful AI
systems.",35,26,3,6,16,10,3,3,14,11,0,3,5,5,0,0
8,"People are being harmed by AI-driven decisions while the government takes too long to
act.",34,29,3,2,16,12,3,1,13,12,0,1,5,5,0,0
9,"Workers who lose their jobs because of AI should get real help finding new work, not just
advice.",36,29,4,3,15,8,4,3,15,15,0,0,6,6,0,0
10,"Companies should not be allowed to replace workers with AI unless they help those workers
find new roles.",36,16,15,5,17,1,12,4,12,8,3,1,7,7,0,0
11,"New AI data centres in Oxfordshire will create good jobs for local people, not just for tech
workers from elsewhere.",30,11,9,10,14,6,3,5,13,5,3,5,3,0,3,0
12,"Communities should have a voice in deciding how AI is used in their local schools and
hospitals.",34,29,2,3,17,14,1,2,13,11,1,1,4,4,0,0
13,"Schools should teach children to question what AI tells them, not just how to use it.",31,29,1,1,13,11,1,1,13,13,0,0,5,5,0,0
14,"AI tools in schools do more to help struggling students catch up than they do to harm
learning.",34,9,16,9,16,7,3,6,13,2,8,3,5,0,5,0
15,"When I talk to a chatbot or AI assistant, I should always be told it is not a real person.",32,29,1,2,15,13,0,2,11,10,1,0,6,6,0,0
16,"Big technology companies care more about profits than about what happens to our
communities.",31,28,1,2,15,13,1,1,12,11,0,1,4,4,0,0
17,"A community that takes care of its people matters more than one with the most advanced
technology.",28,23,1,4,13,10,0,3,12,10,1,1,3,3,0,0
18,"AI companies should have to pay artists and writers when they use their work to train AI
systems.",32,28,2,2,14,11,1,2,11,11,0,0,7,6,1,0
19,"We should slow down on AI until we better understand what it does to people.",35,23,8,4,14,5,6,3,15,12,2,1,6,6,0,0
